level,word,pinyin,english
7-9,病症,bìngzhèng,disease; illness
7-9,拨,bō,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch"
7-9,波动,bōdòng,to undulate; to fluctuate; wave motion; rise and fall
7-9,剥夺,bōduó,to deprive; to expropriate; to strip (sb of his property)
7-9,波及,bōjí,to spread to; to involve; to affect
7-9,拨款,bōkuǎn,to allocate funds; to appropriate funds
7-9,波澜,bōlán,billows; great waves (fig. of a story with great momentum)
7-9,波涛,bōtāo,great waves; billows
7-9,剥削,bōxuē,to exploit; exploitation
7-9,波折,bōzhé,twists and turns
7-9,伯伯,bóbo,uncle (father's elder brother)
7-9,驳回,bóhuí,to reject; to turn down; to overrule
7-9,伯母,bómǔ,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother)
7-9,博学,bóxué,learned; erudite
7-9,博弈,bóyì,game; contest; competition; (math.) game
7-9,不算,bú suàn,to not calculate; to not count; to not be considered (as); to have no weight
7-9,不当,búdàng,improper
7-9,不定,búdìng,indefinite; indeterminate; (botany) adventitious
7-9,不动产,búdòngchǎn,immovable property; real estate
7-9,不见得,bújiàndé,not necessarily; not likely
7-9,不愧,búkuì,to be worthy of; to deserve to be called; to prove oneself to be
7-9,不妙,búmiào,not very good; unfavorable; ominous
7-9,不慎,búshèn,incautious; inattentive
7-9,不下,búxià,not bad; acceptable
7-9,不像话,búxiànghuà,unreasonable; shocking; outrageous
7-9,不肖,búxiào,unworthy
7-9,不屑,búxiè,to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity
7-9,不懈,búxiè,untiring; unremitting; indefatigable
7-9,不亚于,búyàyú,no less than; not inferior to
7-9,不翼而飞,búyì’érfēi,to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire
7-9,不亦乐乎,búyìlèhū,lit. isn't that a joy? (quote from Confucius); fig. (jocular) extremely; awfully
7-9,不正之风,búzhèngzhīfēng,unhealthy tendency
7-9,捕获,bǔhuò,capture; catch
7-9,补给,bǔjǐ,supply; replenishment; to replenish
7-9,补救,bǔjiù,to remedy
7-9,哺乳,bǔrǔ,breastfeeding; to suckle; to nurse
7-9,捕食,bǔshí,hunt for food
7-9,哺育,bǔyù,to feed; (fig.) to nurture; to foster
7-9,补助,bǔzhù,to subsidize; subsidy; allowance
7-9,捕捉,bǔzhuō,capture; catch
7-9,不经意,bù jīngyì,not paying attention; carelessly; by accident
7-9,不得已,bùdéyǐ,to act against one's will; to have no alternative but to; to have to; to have no choice; must
7-9,不法,bùfǎ,lawless
7-9,不妨,bùfáng,there is no harm in; might as well
7-9,不服,bùfú,not to accept sth; to want to have sth overruled or changed; to refuse to obey or comply; to refuse to accept as final; to remain unconvinced by; not to give in to
7-9,不敢当,bùgǎndāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
7-9,不及,bùjí,not as good as; not to come up to; cannot match; cannot reach
7-9,部件,bùjiàn,part; component
7-9,不解,bùjiě,to not understand; to be puzzled by; indissoluble
7-9,不景气,bùjǐngqì,slack; in a slump
7-9,布局,bùjú,arrangement; composition; layout; opening (chess jargon)
7-9,不免,bùmiǎn,inevitably
7-9,不平,bùpíng,uneven; injustice; unfairness; wrong; grievance; indignant; dissatisfied
7-9,不容,bùróng,must not; cannot; to not allow; cannot tolerate
7-9,步入,bùrù,to step into; to enter
7-9,部署,bùshǔ,to dispose; to deploy; deployment
7-9,不惜,bùxī,not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
7-9,不言而喻,bùyán’éryù,it goes without saying; it is self-evident
7-9,不由得,bùyóude,can't help; cannot but
7-9,不由自主,bùyóuzìzhǔ,can't help; involuntarily (idiom)
7-9,猜想,cāixiǎng,guess; conjecture
7-9,裁,cái,to cut out (as a dress); to cut; to trim; to reduce; to diminish; to cut back (e.g. on staff); decision; judgment
7-9,裁缝,cáifeng,tailor; dressmaker
7-9,才干,cáigàn,ability; competence
7-9,财经,cáijīng,finance and economics
7-9,裁决,cáijué,judgment; decision
7-9,财力,cáilì,financial resources
7-9,采,cǎi,to pick; to pluck; to collect; to select; to choose; to gather; color; complexion; looks; variant of 彩; variant of 采
7-9,采矿,cǎikuàng,mining
7-9,采摘,cǎizhāi,pick; pluck
7-9,菜肴,càiyáo,dishes (of food)
7-9,参见,cānjiàn,to refer to; see also; compare (cf.); to pay respect to
7-9,参谋,cānmóu,staff officer; to give advice
7-9,参照,cānzhào,to consult a reference; to refer to (another document)
7-9,残,cán,to destroy; to spoil; to ruin; to injure; cruel; oppressive; savage; brutal; incomplete; disabled; to remain; to survive; remnant; surplus
7-9,残酷,cánkù,cruel; cruelty
7-9,惭愧,cánkuì,ashamed
7-9,残缺,cánquē,badly damaged; shattered
7-9,残忍,cánrěn,cruel; mean; merciless; ruthless
7-9,惨,cǎn,miserable
7-9,惨白,cǎnbái,deathly pale
7-9,惨痛,cǎntòng,bitter; painful; deeply distressed
7-9,惨重,cǎnzhòng,disastrous
7-9,灿烂,cànlàn,to glitter; brilliant; splendid
7-9,苍白,cāngbái,pale; wan
7-9,仓促,cāngcù,all of a sudden; hurriedly
7-9,沧桑,cāngsāng,great changes; ups and downs; vicissitudes; abbr. of 沧海桑田
7-9,苍蝇,cāngying,housefly
7-9,藏匿,cángnì,to cover up; to conceal; to go into hiding
7-9,藏品,cángpǐn,museum piece; collector's item; precious object
7-9,藏身,cángshēn,to hide; to go into hiding; to take refuge
7-9,操控,cāokòng,to control; to manipulate
7-9,操劳,cāoláo,to work hard; to look after
7-9,操练,cāoliàn,drill; practice
7-9,操心,cāoxīn,to worry about
7-9,操纵,cāozòng,to control; to manipulate
7-9,嘈杂,cáozá,noisy; clamorous
7-9,草丛,cǎocóng,bushes; grass
7-9,草坪,cǎopíng,lawn
7-9,草率,cǎoshuài,careless; negligent; sloppy; not serious
7-9,草药,cǎoyào,herbal medicine
7-9,测定,cèdìng,to determine (by measuring or surveying)
7-9,测验,cèyàn,test; to test
7-9,侧重,cèzhòng,to place particular emphasis on
7-9,蹭,cèng,to rub against; to walk slowly; (coll.) to freeload
7-9,差错,chācuò,mistake; slip-up; fault; error; accident; mishap
7-9,差额,chā’é,balance (financial); discrepancy (in a sum or quota); difference
